timestamp,mode,framework,n_resources,component,cpu_millicores,mem_mib
2026-07-15T09:18:23+00:00,scale,crossplane,100,function-patch-and-transform,110,29
2026-07-15T09:18:28+00:00,scale,crossplane,100,crossplane-core,392,231
2026-07-15T09:18:29+00:00,scale,crossplane,100,provider-kafka,11,40
2026-07-15T09:18:29+00:00,scale,crossplane,100,provider-kubernetes,3,51
2026-07-15T09:18:29+00:00,scale,crossplane,100,function-patch-and-transform,110,29
2026-07-15T09:18:35+00:00,scale,crossplane,100,crossplane-core,265,207
2026-07-15T09:18:35+00:00,scale,crossplane,100,provider-kafka,6,40
2026-07-15T09:18:35+00:00,scale,crossplane,100,provider-kubernetes,4,53
2026-07-15T09:18:36+00:00,scale,crossplane,100,function-patch-and-transform,0,29
2026-07-15T09:18:41+00:00,scale,crossplane,100,crossplane-core,265,207
2026-07-15T09:18:42+00:00,scale,crossplane,100,provider-kafka,6,40
2026-07-15T09:18:42+00:00,scale,crossplane,100,provider-kubernetes,4,53
2026-07-15T09:18:42+00:00,scale,crossplane,100,function-patch-and-transform,0,29
2026-07-15T09:18:48+00:00,scale,crossplane,100,crossplane-core,5,207
2026-07-15T09:18:48+00:00,scale,crossplane,100,provider-kafka,6,40
2026-07-15T09:18:48+00:00,scale,crossplane,100,provider-kubernetes,3,53
2026-07-15T09:18:49+00:00,scale,crossplane,100,function-patch-and-transform,1,29
2026-07-15T09:18:54+00:00,scale,crossplane,100,crossplane-core,5,207
2026-07-15T09:18:55+00:00,scale,crossplane,100,provider-kafka,6,40
2026-07-15T09:18:55+00:00,scale,crossplane,100,provider-kubernetes,3,53
2026-07-15T09:18:55+00:00,scale,crossplane,100,function-patch-and-transform,1,29
2026-07-15T09:19:01+00:00,scale,crossplane,100,crossplane-core,5,207
2026-07-15T09:19:01+00:00,scale,crossplane,100,provider-kafka,6,40
2026-07-15T09:19:02+00:00,scale,crossplane,100,provider-kubernetes,3,53
2026-07-15T09:19:03+00:00,scale,crossplane,100,function-patch-and-transform,4,28
2026-07-15T09:19:08+00:00,scale,crossplane,100,crossplane-core,10,207
2026-07-15T09:19:09+00:00,scale,crossplane,100,provider-kafka,10,40
2026-07-15T09:19:09+00:00,scale,crossplane,100,provider-kubernetes,3,53
2026-07-15T09:19:09+00:00,scale,crossplane,100,function-patch-and-transform,4,28
2026-07-15T09:19:15+00:00,scale,crossplane,100,crossplane-core,10,207
2026-07-15T09:19:15+00:00,scale,crossplane,100,provider-kafka,10,40
2026-07-15T09:19:16+00:00,scale,crossplane,100,provider-kubernetes,3,53
2026-07-15T09:19:16+00:00,scale,crossplane,100,function-patch-and-transform,4,28
2026-07-15T09:19:21+00:00,scale,crossplane,100,crossplane-core,103,202
2026-07-15T09:19:22+00:00,scale,crossplane,100,provider-kafka,7,40
2026-07-15T09:19:22+00:00,scale,crossplane,100,provider-kubernetes,4,55
2026-07-15T09:19:23+00:00,scale,crossplane,100,function-patch-and-transform,18,28
2026-07-15T09:19:28+00:00,scale,crossplane,100,crossplane-core,103,202
2026-07-15T09:19:28+00:00,scale,crossplane,100,provider-kafka,7,40
2026-07-15T09:19:29+00:00,scale,crossplane,100,provider-kubernetes,4,55
2026-07-15T09:19:29+00:00,scale,crossplane,100,function-patch-and-transform,18,28
2026-07-15T09:19:35+00:00,scale,crossplane,100,crossplane-core,51,203
2026-07-15T09:19:35+00:00,scale,crossplane,100,provider-kafka,6,40
2026-07-15T09:19:35+00:00,scale,crossplane,100,provider-kubernetes,2,55
2026-07-15T09:19:36+00:00,scale,crossplane,100,function-patch-and-transform,30,28
