LAST SEEN   TYPE      REASON                           OBJECT                                                                           MESSAGE
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-39-consumer-f485d4dd6-nlfqg                     Successfully assigned default/bench-kubebuilder-1784137300-39-consumer-f485d4dd6-nlfqg to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-43-consumer-cb695f68b-xp5wn                     Successfully assigned default/bench-kubebuilder-1784137300-43-consumer-cb695f68b-xp5wn to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-89-consumer-775cb9b894-jk6kb                    Successfully assigned default/bench-kubebuilder-1784137300-89-consumer-775cb9b894-jk6kb to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-44-consumer-68bbc65846-kbppt                    Successfully assigned default/bench-kubebuilder-1784137300-44-consumer-68bbc65846-kbppt to deluca.pro
17m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-44-consumer-68bbc65846-pt44h                    Successfully assigned default/bench-kubebuilder-1784137300-44-consumer-68bbc65846-pt44h to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-72-consumer-5599d985cd-g6l7t                    Successfully assigned default/bench-kubebuilder-1784137300-72-consumer-5599d985cd-g6l7t to deluca.pro
14m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-100-consumer-7f46b9dd4b-bjbrs                   Successfully assigned default/bench-kubebuilder-1784137300-100-consumer-7f46b9dd4b-bjbrs to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-27-consumer-84bffc5bbb-xjtpj                    Successfully assigned default/bench-kubebuilder-1784137300-27-consumer-84bffc5bbb-xjtpj to deluca.pro
17m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-33-consumer-7fd4b48c7d-v5qpf                    Successfully assigned default/bench-kubebuilder-1784137300-33-consumer-7fd4b48c7d-v5qpf to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-71-consumer-784676dcc4-7n2d4                    Successfully assigned default/bench-kubebuilder-1784137300-71-consumer-784676dcc4-7n2d4 to deluca.pro
17m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-22-consumer-7b7bf94bb6-vxnvq                    Successfully assigned default/bench-kubebuilder-1784137300-22-consumer-7b7bf94bb6-vxnvq to deluca.pro
19m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-9-consumer-58b8f49474-22fp8                     Successfully assigned default/bench-kubebuilder-1784137300-9-consumer-58b8f49474-22fp8 to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-70-consumer-5bf4675c58-l7wmn                    Successfully assigned default/bench-kubebuilder-1784137300-70-consumer-5bf4675c58-l7wmn to deluca.pro
17m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-11-consumer-586f7494cd-dng8n                    Successfully assigned default/bench-kubebuilder-1784137300-11-consumer-586f7494cd-dng8n to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-38-consumer-5556f758fd-k456q                    Successfully assigned default/bench-kubebuilder-1784137300-38-consumer-5556f758fd-k456q to deluca.pro
